ward_id,avg_building_height
0,21.0
1,
2,
3,
4,12.0
5,
6,
7,
8,
9,
10,3.0
11,
12,
13,0.0
14,
15,
16,
17,33.0
18,34.0
19,24.8
20,
21,
22,
23,14.75
24,14.32427258805513
25,13.505535055350553
26,
29,4.052631578947368
30,
31,
32,
33,
34,
35,
36,3.0
37,10.5
38,
39,
40,21.0
41,
42,13.850467289719626
43,
44,
45,
46,
47,6.0
48,
49,5.94
50,
51,
52,
53,6.0
54,
55,9.0
58,
59,
60,
61,
62,
63,12.0
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,8.0
80,16.263157894736842
81,
82,
83,13.2
84,4.8
85,
86,
87,6.0
88,20.0
89,
90,
91,
92,
95,
96,
97,
98,
