block_id,block_name,ward,lat,lon,building_density,green_cover,road_density,avg_building_height,distance_to_water,impervious_surface_fraction,lst
DEL-0001,Dwarka Block-1,Dwarka,28.584798,76.88429,0.1552,0.4731,3.03,6.7,37.87,0.2082,37.0
DEL-0002,Narela Block-2,Narela,28.838314,77.109737,0.2517,0.4009,7.85,9.7,10.8,0.5379,39.2
DEL-0003,Pitampura Block-3,Pitampura,28.742077,77.114099,0.4006,0.2094,6.3,8.8,12.28,0.6652,42.0
DEL-0004,Ridge Forest Block-4,Ridge Forest,28.68341,77.159592,0.2025,0.5441,12.35,11.0,8.99,0.6089,38.1
DEL-0005,Mehrauli Block-5,Mehrauli,28.488648,77.201263,0.366,0.2585,6.24,9.7,12.1,0.5308,41.2
DEL-0006,Okhla Industrial Block-6,Okhla Industrial,28.488638,77.31865,0.2467,0.5522,7.04,6.7,1.46,0.5422,36.7
DEL-0007,Vasant Kunj Block-7,Vasant Kunj,28.445557,77.102661,0.1766,0.4275,1.75,10.8,22.52,0.3113,34.9
DEL-0008,Rohini Block-8,Rohini,28.801118,77.01179,0.4343,0.1513,11.63,11.6,20.97,0.8237,42.8
DEL-0009,Old Delhi Block-9,Old Delhi,28.684491,77.233738,0.3948,0.2525,8.75,10.8,2.34,0.7165,40.9
DEL-0010,Rohini Block-10,Rohini,28.731552,76.987291,0.4292,0.3043,7.55,14.7,24.68,0.6542,42.0
DEL-0011,Vasant Kunj Block-11,Vasant Kunj,28.429057,77.066317,0.1309,0.3122,6.74,9.9,26.35,0.3195,37.9
DEL-0012,Rohini Block-12,Rohini,28.84676,76.896874,0.1629,0.4234,2.99,7.7,31.42,0.2282,35.5
DEL-0013,Rohini Block-13,Rohini,28.786275,76.871915,0.1477,0.5705,2.23,9.5,34.59,0.2796,33.1
DEL-0014,Okhla Industrial Block-14,Okhla Industrial,28.513429,77.312445,0.2535,0.448,6.99,6.9,1.04,0.4899,36.4
DEL-0015,Okhla Industrial Block-15,Okhla Industrial,28.500003,77.252911,0.6252,0.0701,15.86,15.7,6.91,0.95,47.1
DEL-0016,Mehrauli Block-16,Mehrauli,28.500698,77.187108,0.3953,0.4591,12.64,11.2,13.14,0.8647,41.6
DEL-0017,Dwarka Block-17,Dwarka,28.553867,77.052208,0.255,0.2106,7.86,10.9,23.39,0.584,40.3
